zipcode,income
78758,"47,244"
78757,"62,992"
,
78759,"74,379"
78751,"51,567"
78739,"134,313"
78749,"87,421"
78744,"43,871"
78702,"48,174"
78735,"94,375"
78728,"55,619"
78617,"47,551"
78723,"42,462"
78727,"72,535"
78753,"41,489"
74051,"55,833"
78752,"38,363"
V6X,"55,322"
78722,"63,559"
78704,"62,283"
78750,"79,228"
78733,"129,875"
78621,"54,921"
78747,"75,698"
78748,"72,908"
78745,"56,778"
78705,"13,349"
78730,"105,086"
78731,"83,438"
78741,"34,950"
78660,"78,145"
78652,"78,594"
78746,"132,551"
78641,"83,526"
78721,"38,301"
78756,"69,583"
43065,"116,187"
78701,"102,112"
78724,"41,308"
78703,"92,746"
78729,"70,164"
78738,"121,505"
74058,"43,065"
78653,"60,880"
78736,"97,049"
78754,"56,819"
78712,
78734,"98,019"
78645,"70,396"
78717,"103,595"
72762,"56,142"
78737,"123,312"
08003,"115,564"
10036,"83,812"
65616,"41,328"
78725,"55,119"
78719,"45,250"
78610,"75,453"
78742,"36,250"
74146,"33,103"
34747,"66,607"
74112,"41,474"
56370,"55,322"
75062,"48,338"
60126,"100,000"
50010,"49,422"
74135,"46,181"
78732,"138,734"
75012,"55,322"
74016,"49,085"
66067,"47,702"
74075,"30,290"
78615,"44,779"
72632,"37,558"
78726,"95,646"
97520,"47,892"
60153,"44,126"
95060,"62,145"
72761,"47,591"
94553,"84,638"
67337,"39,818"
23111,"73,828"
14847,"44,094"
41001,"73,714"
78613,"91,033"
74008,"73,268"
78666,"36,025"
67335,"43,517"
27713,"70,453"
32218,"49,195"
74015,"57,524"
77904,"69,868"
60554,"103,422"
74103,"74,773"
78634,"74,392"
74105,"47,849"
78664,"63,923"
77437,"47,786"
73129,"27,689"
10175,
54913,"75,233"
78628,"81,825"
74114,"70,210"
78669,"92,875"
44256,"75,555"
78612,"57,619"
78640,"67,353"
28786,"41,733"
68701,"48,382"
78654,"54,002"
74137,"85,752"
67213,"31,823"
76210,"80,020"
72712,"77,266"
67301,"44,261"
89147,"52,877"
75235,"46,158"
37207,"33,036"
78665,"88,900"
76132,"51,441"
33331,"97,391"
74072,"47,875"
73625,"55,625"
74133,"58,711"
32792,"43,810"
78501,"34,874"
07601,"56,222"
89045,"97,368"
77840,"21,805"
30354,"31,684"
92220,"40,907"
56082,"60,670"
76021,"65,517"
78710,
78209,"66,082"
75007,"78,488"
30607,"44,893"
78772,
19085,"191,339"
78681,"98,444"
78041,"37,810"
74055,"71,592"
78620,"94,260"
77401,"169,545"
76207,"57,973"
79364,"42,938"
48084,"84,003"
78659,"68,321"
78711,
84790,"57,145"
64759,"38,919"
10803,"150,688"
65340,"41,233"
78602,"55,304"
75050,"47,230"
T0H 3B0,"55,322"
78642,"74,013"
48451,"71,920"
90048,"83,672"
10028,"111,302"
60639,"39,913"
74021,"69,813"
77457,"34,583"
72704,"57,110"
63033,"51,653"
97701,"56,951"
64840,"51,394"
37069,"115,893"
05701,"43,532"
66773,"41,438"
67054,"40,913"
67341,"60,694"
66030,"70,525"
46225,"31,291"
75149,"45,569"
55379,"78,417"
83646,"66,058"
E4,"55,322"
33774,"47,679"
54210,"57,917"
97214,"57,053"
76014,"48,720"
78714,
62864,"40,025"
20772,"100,272"
07849,"92,134"
78663,"73,344"
22302,"100,463"
74120,"38,711"
74003,"36,287"
37128,"66,027"
54474,"52,636"
65201,"31,110"
24328,"45,901"
94704,"26,173"
76107,"59,314"
98383,"68,708"
88317,"49,816"
72023,"59,455"
11530,"144,479"
30114,"63,199"
64506,"57,709"
72081,"41,444"
PR5,"55,322"
67846,"49,780"
34655,"56,949"
75047,
74126,"26,119"
29676,"54,575"
45385,"49,849"
78263,"68,694"
74136,"39,554"
95608,"56,891"
34203,"48,079"
75010,"78,217"
67042,"47,115"
N7G 3H5,"55,322"
46260,"44,724"
10017,"106,795"
02124,"50,044"
10003,"100,791"
78619,"111,944"
67235,"94,893"
33133,"61,210"
66762,"35,187"
67357,"39,865"
29715,"71,561"
46142,"72,122"
78626,"61,033"
15829,"47,763"
64120,"26,000"
93927,"47,733"
24018,"62,083"
33544,"76,350"
74145,"45,189"
05464,"69,667"
11212,"28,495"
49120,"42,974"
63304,"90,272"
77063,"44,670"
20152,"146,092"
29576,"52,287"
K7L,"55,322"
71119,"52,381"
84124,"72,431"
67410,"48,666"
98409,"47,591"
72701,"35,604"
80831,"82,216"
53703,"33,730"
10065,"118,310"
75202,"85,089"
74344,"40,315"
01604,"50,426"
76504,"37,955"
91350,"101,695"
80403,"97,276"
33763,"40,867"
V4K 1V8,"55,322"
67207,"47,134"
99540,"100,755"
48858,"35,988"
83835,"62,262"
06082,"71,526"
74129,"41,152"
14850,"50,290"
62236,"76,908"
98004,"108,905"
10033,"46,349"
74301,"39,441"
72764,"40,943"
73120,"47,685"
53562,"76,169"
87507,"47,188"
37055,"44,356"
10019,"94,477"
64134,"41,547"
77056,"98,862"
67361,"36,161"
07901,"132,107"
66621,
74006,"60,696"
95382,"66,116"
74134,"51,691"
95355,"59,403"
48317,"56,180"
43613,"46,139"
76426,"46,391"
28078,"90,393"
98225,"40,370"
72703,"41,586"
95370,"49,904"
90255,"37,108"
45014,"60,536"
72756,"47,254"
78636,"59,326"
32068,"55,600"
37066,"55,330"
80863,"75,346"
76006,"41,959"
04538,"43,977"
92802,"51,913"
52314,"75,000"
01810,"134,627"
67206,"67,188"
64119,"63,817"
95628,"73,858"
78655,"59,659"
89117,"54,104"
19808,"70,101"
67356,"44,583"
45208,"79,592"
73026,"70,982"
85305,"64,315"
64057,"57,355"
01602,"62,709"
64093,"43,440"
73112,"42,237"
96003,"47,753"
29680,"67,426"
64873,"46,194"
76108,"61,246"
97202,"61,768"
94544,"62,660"
43229,"40,487"
32134,"32,517"
21044,"103,138"
48188,"91,472"
78045,"65,669"
37032,"60,065"
77459,"113,046"
L4M 6M2,"55,322"
67052,"68,636"
91945,"59,025"
21215,"36,763"
20850,"106,998"
10940,"56,758"
89122,"45,031"
74119,"36,571"
12473,"72,573"
30144,"62,411"
74107,"37,283"
74012,"65,802"
33040,"58,351"
92054,"53,519"
64804,"45,434"
66743,"45,417"
78412,"47,901"
46143,"63,134"
74115,"31,376"
81143,"28,438"
64801,"38,592"
27306,"35,139"
92078,"65,686"
91711,"94,509"
76549,"52,605"
46151,"54,972"
06776,"81,404"
39564,"60,439"
75013,"122,010"
15090,"111,636"
73750,"62,803"
78676,"68,442"
06825,"105,022"
90704,"61,905"
60654,"93,848"
77833,"51,604"
01223,"72,981"
60014,"83,271"
37865,"53,314"
35215,"39,786"
95135,"129,923"
40505,"34,883"
59717,
11803,"132,371"
50124,"65,820"
94595,"62,374"
94513,"93,951"
37922,"101,008"
02188,"75,129"
86336,"56,294"
12134,"51,303"
66160,
37129,"64,261"
59718,"58,916"
77044,"71,788"
85346,"39,432"
70817,"83,949"
60561,"84,951"
89815,"91,883"
29678,"36,569"
64114,"57,217"
76712,"66,944"
21040,"54,034"
66112,"44,126"
3175,"55,322"
33701,"34,003"
02466,"107,717"
63670,"49,177"
27205,"44,490"
32506,"42,476"
98610,"37,766"
20724,"101,101"
97015,"65,360"
27406,"38,560"
34285,"50,464"
46259,"94,242"
78778,
19720,"57,032"
93451,"60,605"
77098,"83,686"
74104,"38,647"
10016,"102,703"
74017,"49,666"
53072,"77,627"
77015,"43,243"
23060,"81,476"
29708,"102,839"
78542,"32,417"
07078,
27330,"44,701"
73069,"43,907"
64831,"42,101"
67226,"68,461"
35226,"92,910"
90277,"99,358"
61462,"39,708"
97045,"70,051"
95076,"58,271"
76877,"35,216"
52772,"60,233"
76266,"70,024"
L6M 4M2,"55,322"
01960,"63,822"
10562,"73,797"
64118,"51,314"
71973,"28,276"
22207,"170,423"
34761,"57,779"
68849,
75247,"16,227"
V6X 4J7,"55,322"
29072,"76,340"
45440,"63,385"
53214,"43,202"
75204,"67,569"
78957,"45,391"
14067,"52,113"
10011,"114,134"
64106,"28,449"
87506,"68,991"
44147,"77,722"
66044,"34,889"
17010,
77003,"46,267"
77702,"37,012"
30341,"51,838"
75058,"65,069"
10705,"46,013"
74029,"40,609"
14221,"78,002"
75219,"65,838"
60660,"43,794"
19081,"90,977"
08318,"76,176"
N1S,"55,322"
78249,"63,538"
60605,"99,725"
73132,"51,979"
75428,"25,504"
44115,"11,899"
74128,"41,867"
75254,"44,600"
32214,
32207,"42,385"
21234,"60,388"
64112,"68,981"
92879,"61,888"
89123,"61,006"
40007,"83,750"
63025,"90,885"
76013,"47,633"
67347,"42,639"
23801,"61,142"
78774,
80209,"85,654"
78130,"57,304"
74131,"52,083"
78629,"48,043"
75238,"55,434"
19114,"54,151"
95864,"92,165"
72160,"36,179"
95066,"108,581"
65672,"36,827"
74361,"45,782"
76527,"51,362"
71343,"35,541"
78763,
75093,"102,323"
28139,"40,744"
66101,"23,774"
L4J 9A4,"55,322"
62048,"48,250"
78233,"56,014"
33426,"52,530"
67332,"45,500"
15120,"42,157"
30318,"43,992"
85224,"64,694"
74110,"27,118"
64850,"40,782"
77354,"84,909"
49418,"62,083"
31047,"78,672"
74939,"40,000"
98033,"110,688"
68108,"36,456"
64735,"43,876"
91008,"102,917"
11430,
94599,"72,245"
63026,"74,033"
48030,"33,379"
66748,"40,938"
35022,"59,638"
92782,"100,024"
77070,"71,428"
46804,"63,397"
55124,"83,450"
97140,"88,562"
21401,"88,599"
38138,"95,279"
20879,"87,174"
75067,"57,325"
42718,"32,938"
80421,"68,457"
78261,"101,003"
23235,"72,451"
72901,"27,972"
85254,"87,580"
73082,"37,176"
39157,"55,474"
73111,"25,081"
67005,"42,373"
31406,"46,556"
28678,"38,493"
45414,"38,984"
98005,"96,767"
64132,"29,714"
74056,"35,168"
92647,"73,604"
36832,"22,847"
23234,"46,419"
24055,"33,571"
75048,"93,270"
27605,"53,125"
37122,"77,328"
90066,"72,004"
65712,"41,513"
77386,"93,474"
08085,"110,864"
93215,"36,949"
78606,"46,875"
76857,"53,939"
10465,"73,068"
48160,"68,629"
93535,"42,266"
32765,"71,406"
75025,"109,257"
67211,"29,766"
K0K 3G0,"55,322"
27615,"78,750"
78401,"24,817"
21158,"82,411"
78650,"60,417"
34238,"62,025"
34221,"48,428"
66757,"46,788"
76543,"39,474"
49435,"76,563"
79201,"37,586"
SN8 1RF,"55,322"
74354,"37,500"
91702,"59,027"
10009,"60,788"
11518,"91,343"
43123,"63,004"
83702,"54,155"
75244,"77,345"
20024,"75,703"
92701,"39,348"
74820,"43,837"
91354,"116,009"
76092,"187,670"
77479,"133,200"
40360,"40,304"
94550,"109,793"
78227,"37,297"
21211,"60,533"
